phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_SCABIES	Scabies	I Certain infectious and parasitic diseases (AB1_)	1690	498117	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SCABIES.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SCABIES.gz
AB1_SCARLET_FEVER	Scarlet fever	I Certain infectious and parasitic diseases (AB1_)	257	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SCARLET_FEVER.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SCARLET_FEVER.gz
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	2203	497160	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULAE_INF_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULAE_INF_NOS.gz
AB1_SEQULAE_POLIO	Sequelae of poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	265	497160	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULAE_POLIO.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULAE_POLIO.gz
AB1_SEQULAE_TUBERCU	Sequelae of tuberculosis	I Certain infectious and parasitic diseases (AB1_)	727	497160	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULAE_TUBERCU.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULAE_TUBERCU.gz
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	3188	497160	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	I Certain infectious and parasitic diseases (AB1_)	14890	485458	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEXUAL_TRANSMISSION.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEXUAL_TRANSMISSION.gz
AB1_SEXUAL_TRANSMISSION_NOS	Other predominantly sexually transmitted diseases, not elsewhere classified	I Certain infectious and parasitic diseases (AB1_)	7854	485458	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEXUAL_TRANSMISSION_NOS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SEXUAL_TRANSMISSION_NOS.gz
AB1_SHIGELLOSIS	Shigellosis	I Certain infectious and parasitic diseases (AB1_)	109	444292	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SHIGELLOSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_SHIGELLOSIS.gz
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	I Certain infectious and parasitic diseases (AB1_)	3239	439048	gs://finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_STREPTO_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r12/summary_stats/release/finngen_R12_AB1_STREPTO_SEPSIS.gz
